doc_id,item,category,amount,price,discount
CHK-05-01-82109,AMD Ryzen 5 7500F,processors,5,19337,2084.67
CHK-05-01-82109,Patriot Viper Steel 32GB DDR4,RAM,2,27680,2024.77
CHK-05-01-82109,Intel Core i5-12400F,processors,3,60534,6080.49
CHK-05-01-82109,Samsung 990 PRO 1TB SSD,SSDs,2,53069,6144.26
CHK-05-01-82109,AMD Ryzen 5 7500F,processors,1,53420,7045.04
CHK-05-01-82855,Cooler Master Hyper 212,coolers,4,37146,116.87
CHK-05-01-82855,Intel Core i9-13900K,processors,5,11219,235.11
CHK-05-01-82855,NVIDIA GeForce RTX 4090,graphics cards,2,2786,226.76
CHK-05-01-82855,NZXT H510 Case,cases,4,53144,6137.92
CHK-05-01-62846,HyperX Predator 64GB DDR5,RAM,3,19209,2793.65
CHK-05-01-62846,Intel Core i7-13700K,processors,2,87102,1465.74
CHK-05-01-62846,Phanteks Eclipse P400A,cases,4,17724,802.75
CHK-05-01-62846,Intel Core i5-12400F,processors,3,98395,13204.97
CHK-05-01-62846,AMD Radeon RX 7900 XTX,graphics cards,1,17845,192.1
CHK-05-01-64034,Arctic Liquid Freezer II 360,coolers,4,33568,3024.43
CHK-05-01-64034,AMD Radeon RX 7900 XTX,graphics cards,3,82813,914.54
CHK-05-01-64034,Biostar X670E Valkyrie,motherboards,5,58913,726.49
CHK-05-01-64034,AMD Ryzen 5 7500F,processors,3,17643,1207.75
CHK-05-01-64034,Deepcool AK620 CPU Cooler,coolers,5,11369,507.26
CHK-05-01-64034,EVGA SuperNOVA 1000 G+,power supplies,3,12424,27.45
CHK-05-01-64034,Crucial Ballistix 32GB DDR4,RAM,4,48142,4775.57
CHK-05-01-64031,Crucial P5 Plus 500GB SSD,SSDs,2,70631,451.65
CHK-05-01-64384,NVIDIA GeForce RTX 3080 Ti,graphics cards,3,91309,12790.48
CHK-05-01-64384,NZXT H510 Case,cases,4,15592,1811.11
CHK-05-01-64384,Corsair Vengeance 32GB DDR5,RAM,1,38125,4890.3
CHK-05-01-64384,G.Skill Trident Z5 64GB DDR4,RAM,1,94812,9613.36
CHK-05-01-64384,NVIDIA GeForce RTX 3080 Ti,graphics cards,4,5440,711.31
CHK-05-01-64384,G.Skill Trident Z5 64GB DDR4,RAM,5,85412,10641.79
CHK-05-01-64384,Seagate FireCuda 520 1TB,SSDs,3,41882,346.98
CHK-05-01-64384,NVIDIA GeForce RTX 3080 Ti,graphics cards,4,91564,13307.3
